sample,fastq_1,fastq_2,strandedness
RET24-1-1,RET24-hours/RET24-1-1_R1.fastq.gz,RET24-hours/RET24-1-1_R2.fastq.gz,auto
RET24-1-2,RET24-hours/RET24-1-2_R1.fastq.gz,RET24-hours/RET24-1-2_R2.fastq.gz,auto
RET24-1-3,RET24-hours/RET24-1-3_R1.fastq.gz,RET24-hours/RET24-1-3_R2.fastq.gz,auto
RET24-2-1,RET24-hours/RET24-2-1_R1.fastq.gz,RET24-hours/RET24-2-1_R2.fastq.gz,auto
RET24-2-2,RET24-hours/RET24-2-2_R1.fastq.gz,RET24-hours/RET24-2-2_R2.fastq.gz,auto
RET24-2-3,RET24-hours/RET24-2-3_R1.fastq.gz,RET24-hours/RET24-2-3_R2.fastq.gz,auto
RET24-4-1,RET24-hours/RET24-4-1_R1.fastq.gz,RET24-hours/RET24-4-1_R2.fastq.gz,auto
RET24-4-2,RET24-hours/RET24-4-2_R1.fastq.gz,RET24-hours/RET24-4-2_R2.fastq.gz,auto
RET24-8-1,RET24-hours/RET24-8-1_R1.fastq.gz,RET24-hours/RET24-8-1_R2.fastq.gz,auto
RET24-8-2,RET24-hours/RET24-8-2_R1.fastq.gz,RET24-hours/RET24-8-2_R2.fastq.gz,auto
RET24-8-3,RET24-hours/RET24-8-3_R1.fastq.gz,RET24-hours/RET24-8-3_R2.fastq.gz,auto
RET24-16-1,RET24-hours/RET24-16-1_R1.fastq.gz,RET24-hours/RET24-16-1_R2.fastq.gz,auto
RET24-16-2,RET24-hours/RET24-16-2_R1.fastq.gz,RET24-hours/RET24-16-2_R2.fastq.gz,auto
RET24-16-3,RET24-hours/RET24-16-3_R1.fastq.gz,RET24-hours/RET24-16-3_R2.fastq.gz,auto
RET24-32-1,RET24-hours/RET24-32-1_R1.fastq.gz,RET24-hours/RET24-32-1_R2.fastq.gz,auto
RET24-32-2,RET24-hours/RET24-32-2_R1.fastq.gz,RET24-hours/RET24-32-2_R2.fastq.gz,auto
RET24-32-3,RET24-hours/RET24-32-3_R1.fastq.gz,RET24-hours/RET24-32-3_R2.fastq.gz,auto
RET24-64-1,RET24-hours/RET24-64-1_R1.fastq.gz,RET24-hours/RET24-64-1_R2.fastq.gz,auto
RET24-64-2,RET24-hours/RET24-64-2_R1.fastq.gz,RET24-hours/RET24-64-2_R2.fastq.gz,auto
RET24-64-3,RET24-hours/RET24-64-3_R1.fastq.gz,RET24-hours/RET24-64-3_R2.fastq.gz,auto
